tokenAddress,tokenName,tokenSymbol,caller,alertTime,alertDateTime,entryTime,exitTime,pnl,pnlPercent,holdDuration,entryPrice,exitPrice,athSinceCall,athSinceCallPercent,maxDrawdownFromEntry,maxDrawdownFromEntryPercent,timeToATH,hasOHLCV,strategy
ygDvqnG9V6qwWHZ9SmFkWjiMUrwmpYnJ9hMR7Njbonk,@grok send this coin to 1m,1M,Austic,2025-07-19T04:20:22.000+10:00,2025-07-19T04:20:22.000+10:00,2025-07-19T10:05:00.000+10:00,2025-07-19T12:00:00.000+10:00,1.1990551859885192,19.905518598851923,115,0.0000037638937602414445,0.000004513116332727332,0.000023856770254366918,296.51880705474855,1.0597611817841129e-7,2.815598019738293,4,1,MACD_Cross_5m_20pctTrail_24h
A4WU95HHYX8u3vb18oFpz6JRcsxfM4VmZK9zsXCUbonk,The Doodle Hamster,HAMI,Austic,2025-07-19T18:02:24.000+10:00,2025-07-19T18:02:24.000+10:00,2025-07-19T22:45:00.000+10:00,2025-07-19T22:50:00.000+10:00,0.8008477362342522,-19.91522637657478,5,0.00013070202301688658,0.00010467241925431074,0.0003591056787583583,76.23538494034277,0.0001161483937512381,88.86503136698339,2,1,MACD_Cross_5m_20pctTrail_24h
2B56n4oJvzj2D485MPYWNCBnVHvTaLPBah96CuU8bonk,Pain Is MY Partner,PAIN,Austic,2025-07-21T22:01:24.000+10:00,2025-07-21T22:01:24.000+10:00,2025-07-22T01:45:00.000+10:00,2025-07-22T02:00:00.000+10:00,0.9755602101147486,-2.4439789885251417,15,0.0005071767227569419,0.0004947814302180718,0.006790579906829544,321.6097583898199,0.0003941810258576143,77.72064611224688,3,1,MACD_Cross_5m_20pctTrail_24h
FgBfWX2HwQigtEsoijKMKT9YN584VR1U9TMxYhNabonk,,,Austic,2025-07-22T00:02:02.000+10:00,2025-07-22T00:02:02.000+10:00,2025-07-22T04:55:00.000+10:00,2025-07-22T07:00:00.000+10:00,0.9271587577057147,-7.284124229428535,125,0.000007735838076442073,0.0000071723500207665975,0.00009193632759967523,20.42241079838174,0.0000024531205009608146,31.711114900805587,2,1,MACD_Cross_5m_20pctTrail_24h
CcGQdk3tX9Xxpz4BUy59Fi6dCPzA4uT5nRgtVza4bonk,ROBUX,ROBUX,Austic,2025-07-22T23:25:19.000+10:00,2025-07-22T23:25:19.000+10:00,2025-07-23T04:25:00.000+10:00,2025-07-23T04:30:00.000+10:00,1.0821733788932872,8.217337889328725,5,0.000016960455344168228,0.000018354153267367243,0.0002816301002481085,94.61282784216378,0.000006775469335218427,39.94862872327387,4,1,MACD_Cross_5m_20pctTrail_24h
HQtGjp135TNUdC4p5ciDDY8wzoBatn1w7zUo3hs9bonk,Rocket Companies Inc.,RKT,Austic,2025-07-23T08:03:55.000+10:00,2025-07-23T08:03:55.000+10:00,2025-07-23T09:30:00.000+10:00,2025-07-23T09:40:00.000+10:00,0.8163973873261452,-18.360261267385482,10,0.00005288249778834456,0.00004317313302968515,0.00017989121217271972,52.61131469627309,0.000033995147769646795,64.28430802513911,1,1,MACD_Cross_5m_20pctTrail_24h
wq4n4P5XM8zzHLW12r7Q7oLHzWBFo5x1vtatHoYbonk,Mega Dragonite,DRAGONITE,Austic,2025-07-23T20:11:24.000+10:00,2025-07-23T20:11:24.000+10:00,2025-07-23T21:55:00.000+10:00,2025-07-23T22:55:00.000+10:00,1.0829570155143606,8.295701551436064,60,0.00034805698707126345,0.00037693075594761585,0.0005191828924566728,38.14817030481974,0.0003257652823372955,93.59538651370221,3,1,MACD_Cross_5m_20pctTrail_24h
cyMRy2qBFbv6r6epi5TFiWuwANP46bH56iY42zdbonk,Just a Chill Guy,CHILLGUY,Austic,2025-07-24T07:43:07.000+10:00,2025-07-24T07:43:07.000+10:00,2025-07-24T10:35:00.000+10:00,2025-07-24T23:00:00.000+10:00,0.7920150000000001,-20.798499999999986,745,0.00019720616742252494,0.00015619024269115112,0.0004426021733191086,19.172438844379535,0.00016311438778441697,82.71261995317597,1,1,MACD_Cross_5m_20pctTrail_24h
HCgfbJgePTaAXDpYgAwEkA6WHoY4MAHUnR5suLBubonk,Noodle The Cat,NOODLE,Austic,2025-07-24T17:53:08.000+10:00,2025-07-24T17:53:08.000+10:00,2025-07-24T23:35:00.000+10:00,2025-07-25T00:00:00.000+10:00,0.8817031082181157,-11.82968917818843,25,0.000010269903650604843,0.000009055005969838863,0.00003835118314103718,64.34736654441065,0.0000031957811246060433,31.117927035448172,1,1,MACD_Cross_5m_20pctTrail_24h
7ZC4BjM92HboXQPi39ehiueJ8CuDJQxPVMuZtzshbonk,墙外弱智吧联盟,PO,Austic,2025-07-24T20:12:08.000+10:00,2025-07-24T20:12:08.000+10:00,2025-07-25T01:15:00.000+10:00,2025-07-25T01:20:00.000+10:00,0.9624283165539622,-3.7571683446037785,5,0.0002711966548222684,0.00026100733995566177,0.0010893613536879542,400.0753359962282,0.00015549592357807124,57.33696224239091,2,1,MACD_Cross_5m_20pctTrail_24h
