tokenAddress,tokenName,tokenSymbol,caller,alertTime,alertDateTime,entryTime,exitTime,pnl,pnlPercent,holdDuration,entryPrice,exitPrice,athSinceCall,athSinceCallPercent,maxDrawdownFromEntry,maxDrawdownFromEntryPercent,timeToATH,hasOHLCV,strategy
37CK1GDT6y2YXKD3amHLwfkVXPmM1EMYAGmDKXiEbonk,Based Elon Grok Companion,BASED,Brook Giga I verify @BrookCalls,2025-07-19T03:10:12.000+10:00,2025-07-19T03:10:12.000+10:00,2025-07-19T03:10:12.000+10:00,2025-07-19T03:15:00.000+10:00,0.7920150000000002,-20.798499999999976,4,0.0004600585966136832,0.0003643733093969864,0.0008168411865548003,79.3303984025712,0.0003709321504029409,80.62715339594385,4,1,MultiTrade_35pctTrail_50pctDropRebound_24h
6TUJXvuUrS4rnnm8LmG23AZYsWQavY9SpeAG3Cdjbonk,joe,JOE,Brook Giga I verify @BrookCalls,2025-07-19T08:47:32.000+10:00,2025-07-19T08:47:32.000+10:00,2025-07-19T08:47:32.000+10:00,2025-07-19T11:25:00.000+10:00,0.847031840646825,-15.296815935317499,157,0.0016995514756483266,0.0014395742146924297,0.0049426182960377475,193.73262443768164,0.0003201371024213822,18.83656405871789,2,1,MultiTrade_35pctTrail_50pctDropRebound_24h
FvBJS4xPWLsjuoCiafXu4GR15YGiKpNHhJpXEm7bonk,Walter The Cat,WALTER,Brook Giga I verify @BrookCalls,2025-07-19T10:59:31.000+10:00,2025-07-19T10:59:31.000+10:00,2025-07-19T10:59:31.000+10:00,2025-07-19T11:00:00.000+10:00,0.9603831578117983,-3.9616842188201717,0,0.00007726659238407459,0.0000742055339871746,0.000115313331166979,50.736072356691,0.0000623372480739014,80.67813805484934,0,1,MultiTrade_35pctTrail_50pctDropRebound_24h
4ZVCJdxrbWLWKFFAZqqphyNBUhPE7YpnHWXvFuKkbonk,,,Brook Giga I verify @BrookCalls,2025-07-19T17:06:49.000+10:00,2025-07-19T17:06:49.000+10:00,2025-07-19T17:06:49.000+10:00,2025-07-19T17:10:00.000+10:00,0.901758602534504,-9.824139746549598,3,0.0002948755018169825,0.00026590652044014275,0.000553560659460869,89.60769608621398,0.0002879348458523062,97.64624191500857,3,1,MultiTrade_35pctTrail_50pctDropRebound_24h
935zJVrrhH5j2fBjq9zSj9mrSKhDuLGQfhp1QNRBbonk,brev,BREV,Brook Giga I verify @BrookCalls,2025-07-19T18:26:51.000+10:00,2025-07-19T18:26:51.000+10:00,2025-07-19T18:26:51.000+10:00,2025-07-19T18:35:00.000+10:00,0.7422833502874084,-25.771664971259156,8,0.00002494997270262807,0.00001851994932728615,0.00002877948496862951,16.504413772753956,0.00001969159969814635,78.92433363693486,3,1,MultiTrade_35pctTrail_50pctDropRebound_24h
HHM5XfhBa3Arm6xvRqH2jHVJCFWmVBTYjUbf9wKJbonk,minimal bonk,BNK,Brook Giga I verify @BrookCalls,2025-07-19T20:42:00.000+10:00,2025-07-19T20:42:00.000+10:00,2025-07-19T20:42:00.000+10:00,2025-07-19T20:50:00.000+10:00,0.769138073603769,-23.086192639623103,8,0.00025189884073921313,0.000193744989109181,0.0004874929901055877,95.4661875597745,0.0002342760713169432,93.00402916879061,3,1,MultiTrade_35pctTrail_50pctDropRebound_24h
BDWvvvKUS9c3C4Rz1w9tk5uD519CzD2f6n7zBk2Bbonk,Delusional Coin,DELULU,Brook Giga I verify @BrookCalls,2025-07-20T01:41:12.000+10:00,2025-07-20T01:41:12.000+10:00,2025-07-20T01:41:12.000+10:00,2025-07-20T02:25:00.000+10:00,0.8138122355401273,-18.618776445987272,43,0.0009039063510299091,0.0007356100482505694,0.002071484154727471,131.46621707201805,0.0003983880595641613,44.074041421463484,3,1,MultiTrade_35pctTrail_50pctDropRebound_24h
DRTxSx7s5WQxa1t7u6uHtqjnEKqS6Na8ZoCPoLc4bonk,BitcoinHouseEthUselessUsdcSol,COIN,Brook Giga I verify @BrookCalls,2025-07-20T03:15:21.000+10:00,2025-07-20T03:15:21.000+10:00,2025-07-20T03:15:21.000+10:00,2025-07-20T03:20:00.000+10:00,1.8915830113191294,89.15830113191294,4,0.000005489955606718011,0.000010384706758563994,0.000030240006417587228,456.34281349212114,0.0000011657867816035975,21.23490361519562,4,1,MultiTrade_35pctTrail_50pctDropRebound_24h
DRTxSx7s5WQxa1t7u6uHtqjnEKqS6Na8ZoCPoLc4bonk,BitcoinHouseEthUselessUsdcSol,COIN,Brook Giga I verify @BrookCalls,2025-07-20T03:15:21.000+10:00,2025-07-20T03:15:21.000+10:00,2025-07-20T03:30:00.000+10:00,2025-07-20T03:30:00.000+10:00,0.7646351909689278,-23.536480903107215,0,0.000008106355355210552,0.000006198404575093412,0.000030240006417587228,456.34281349212114,0.0000037821865300961383,46.65705319302402,4,1,MultiTrade_35pctTrail_50pctDropRebound_24h
LarJmR9bQNUGUNPWaQ2tb6KrBT5DYMtpuuL9W7ELg5w,,,Brook Giga I verify @BrookCalls,2025-07-20T22:56:43.000+10:00,2025-07-20T22:56:43.000+10:00,2025-07-20T22:56:43.000+10:00,2025-07-21T00:50:00.000+10:00,1.540712442757824,54.071244275782405,113,0.00003329047063469019,0.000051291042332131135,0.00010540443379933822,219.7925785991403,0.00002871395994502853,86.2527906562765,3,1,MultiTrade_35pctTrail_50pctDropRebound_24h
