tokenAddress,tokenName,tokenSymbol,caller,alertTime,alertDateTime,entryTime,exitTime,pnl,pnlPercent,holdDuration,entryPrice,exitPrice,athSinceCall,athSinceCallPercent,maxDrawdownFromEntry,maxDrawdownFromEntryPercent,timeToATH,hasOHLCV,strategy
5kx6u1iN3bEUxWboawVS8uK745tBuhxSb8jApcYbonk,CodeputerBot,CPUTER,Austic,2025-07-19T06:45:19.000+10:00,2025-07-19T06:45:19.000+10:00,2025-07-19T07:25:00.000+10:00,2025-07-19T07:30:00.000+10:00,0.792015,-20.798499999999997,5,0.00008436662767017251,0.00006681963461419168,0.00018453996134530713,65.25153887178242,0.00007115591531299583,84.34130565367225,4,1,Dip_40pctDrop_ReboundToMinus30pct_24h
6pVhSbhT8qod1LQFLaifieeecxhy7B7gp6aCMfKGbonk,aloff,ALOFF,Austic,2025-07-19T10:56:52.000+10:00,2025-07-19T10:56:52.000+10:00,2025-07-19T12:15:00.000+10:00,2025-07-19T12:20:00.000+10:00,0.792015,-20.798499999999997,5,0.00003734951617463602,0.000029581377053054347,0.0000564126100052555,14.460613345890128,0.00003089994109614164,82.7318376807401,3,1,Dip_40pctDrop_ReboundToMinus30pct_24h
A4WU95HHYX8u3vb18oFpz6JRcsxfM4VmZK9zsXCUbonk,The Doodle Hamster,HAMI,Austic,2025-07-19T18:02:24.000+10:00,2025-07-19T18:02:24.000+10:00,2025-07-19T18:05:00.000+10:00,2025-07-19T18:45:00.000+10:00,0.7920150000000001,-20.798499999999986,40,0.00014406438765412398,0.00011410115598788102,0.0003591056787583583,76.23538494034277,0.0001295107583884755,89.89783005874466,2,1,Dip_40pctDrop_ReboundToMinus30pct_24h
3KXNxQiy4mR8byT3H8RBeECUj4TtHxGUn393c47Dbonk,Female gaze theory,GAZE,Austic,2025-07-21T03:13:52.000+10:00,2025-07-21T03:13:52.000+10:00,2025-07-21T03:30:00.000+10:00,2025-07-21T03:35:00.000+10:00,0.7920149999999999,-20.798500000000008,5,0.00002355602629552507,0.000018656726166450287,0.00003733180841279956,12.048094176430668,0.00001740546157201937,73.88963381878156,1,1,Dip_40pctDrop_ReboundToMinus30pct_24h
2kkwPP6Y5v4aSteLo2R6uqmx3aQ6Veb1xDcRXHsNbonk,Pnut the Squirrel,PNUT,Austic,2025-07-21T11:57:10.000+10:00,2025-07-21T11:57:10.000+10:00,2025-07-22T01:00:00.000+10:00,2025-07-22T02:00:00.000+10:00,0.7920150000000001,-20.798499999999986,60,0.0016041031430361976,0.0012704737508318143,0.002807867128240802,93.15617301424433,0.000976752168660875,60.89085810355736,2,1,Dip_40pctDrop_ReboundToMinus30pct_24h
2B56n4oJvzj2D485MPYWNCBnVHvTaLPBah96CuU8bonk,Pain Is MY Partner,PAIN,Austic,2025-07-21T22:01:24.000+10:00,2025-07-21T22:01:24.000+10:00,2025-07-21T22:05:00.000+10:00,2025-07-21T23:35:00.000+10:00,0.7920150000000001,-20.798499999999986,90,0.00113873766556673,0.0009018973121938337,0.006790579906829544,321.6097583898199,0.0010257419686674023,90.07710903783168,3,1,Dip_40pctDrop_ReboundToMinus30pct_24h
FaYm6bGufYUrEMq8gbgx92BSA1bfGSr1xdk5LY2sbonk,performative men,PERFORM,Austic,2025-07-21T22:47:32.000+10:00,2025-07-21T22:47:32.000+10:00,2025-07-22T01:15:00.000+10:00,2025-07-22T01:20:00.000+10:00,0.7920150000000001,-20.798499999999986,5,0.000017280229227889082,0.000013686200751926573,0.00003059047731144777,33.96466534179694,0.00000697105151131011,40.341198136766145,2,1,Dip_40pctDrop_ReboundToMinus30pct_24h
FgBfWX2HwQigtEsoijKMKT9YN584VR1U9TMxYhNabonk,,,Austic,2025-07-22T00:02:02.000+10:00,2025-07-22T00:02:02.000+10:00,2025-07-22T00:10:00.000+10:00,2025-07-22T00:15:00.000+10:00,0.792015,-20.798499999999997,5,0.00007710974565795881,0.00006107207520728825,0.00009193632759967523,20.42241079838174,0.00007182702808247755,93.14909220565428,2,1,Dip_40pctDrop_ReboundToMinus30pct_24h
2rKy3iZUZYnAXLah4CujUhSJsh1PocHKKUULfZyubonk,GROK CLI,SUPERAGENT,Austic,2025-07-22T01:54:37.000+10:00,2025-07-22T01:54:37.000+10:00,2025-07-22T01:55:00.000+10:00,2025-07-22T02:00:00.000+10:00,0.7920150000000002,-20.798499999999976,5,0.0001750737546248776,0.00013866103976922247,0.0005502427862155294,122.20856154282087,0.00016787057924082244,95.88563380074355,0,1,Dip_40pctDrop_ReboundToMinus30pct_24h
GJU3bXxNkNtYxgjkoFhAdq7VrXJAB2GW4Cpt6kLcbonk,hornyCoin,69420,Austic,2025-07-22T04:33:29.000+10:00,2025-07-22T04:33:29.000+10:00,2025-07-23T01:00:00.000+10:00,2025-07-23T04:00:00.000+10:00,0.7920150000000001,-20.798499999999986,180,0.00028367137893931644,0.00022467198719062275,0.0005218029701482107,31.74716621670839,0.00006262936491765306,22.07814025927898,1,1,Dip_40pctDrop_ReboundToMinus30pct_24h
