tokenAddress,tokenName,tokenSymbol,caller,alertTime,alertDateTime,entryTime,exitTime,pnl,pnlPercent,holdDuration,entryPrice,exitPrice,athSinceCall,athSinceCallPercent,maxDrawdownFromEntry,maxDrawdownFromEntryPercent,timeToATH,hasOHLCV,strategy
8qGR2zjDDXBins24urtvRMEWiE7tUr6xJ8nUCbY6bonk,Thump,THUMP,meta maxist,2025-07-19T05:23:58.000+10:00,2025-07-19T05:23:58.000+10:00,2025-07-19T09:45:00.000+10:00,2025-07-19T09:50:00.000+10:00,0.7920150000000001,-20.798499999999986,5,0.00013695427144226247,0.00010846983729634353,0.00020309450030483284,374.87200722549704,0.00011229039721973769,81.99116101835303,1,1,PriceBreakout_5pct_20pctTrail_24h
HKZQxDqqw1U7MmzEcjc4JocEnZJ75nBKudcKs8xgbonk,ICE,ICE,meta maxist,2025-07-21T06:08:04.000+10:00,2025-07-21T06:08:04.000+10:00,2025-07-21T08:20:00.000+10:00,2025-07-21T08:20:00.000+10:00,0.792015,-20.798499999999997,0,0.00015718606539495746,0.00012449372158378723,0.00041695024395510056,223.99860506683825,0.0001472864988537566,93.70200754352716,1,1,PriceBreakout_5pct_20pctTrail_24h
3UofsdJQyTe8PF3HMUR8KEB13wtwGkk4qyAhgLCgbonk,nice fucking tits,NFT,meta maxist,2025-07-21T20:49:56.000+10:00,2025-07-21T20:49:56.000+10:00,2025-07-21T23:00:00.000+10:00,2025-07-21T23:05:00.000+10:00,0.9166381142498338,-8.336188575016623,5,0.0003366988118885187,0.00030863096399965127,0.0009687522801013522,463.44659085223714,0.00026827805264334156,79.67894247639006,0,1,PriceBreakout_5pct_20pctTrail_24h
CfVs3waH2Z9TM397qSkaipTDhA9wWgtt8UchZKfwkYiu,Kingnet AI,KNET,meta maxist,2025-07-23T06:31:48.000+10:00,2025-07-23T06:31:48.000+10:00,2025-07-23T08:45:00.000+10:00,2025-07-23T11:45:00.000+10:00,0.8094367619219014,-19.05632380780986,180,0.011062754369810716,0.00895460007503695,0.013225553365281176,27.350363405590382,0.0041141683596011835,37.18936733177758,8,1,PriceBreakout_5pct_20pctTrail_24h
5MU4Fm65xmn19D5a1bmTruzvKZbeX9EQsU2EeEEFbonk,,,meta maxist,2025-07-25T09:04:08.000+10:00,2025-07-25T09:04:08.000+10:00,2025-07-25T11:15:00.000+10:00,2025-07-25T11:20:00.000+10:00,0.8988773500834727,-10.112264991652731,5,0.00009139302670972842,0.00008215112166494873,0.00022235823586441296,1293.9451434608034,0.00008350361577291247,91.36760076687979,0,1,PriceBreakout_5pct_20pctTrail_24h
A8b6B5PxDkhD9JNrPg25fbtALMvme8B1JvoJkYfCbonk,Let The Dog Run,DOG,meta maxist,2025-07-29T03:44:33.000+10:00,2025-07-29T03:44:33.000+10:00,2025-07-29T05:55:00.000+10:00,2025-07-29T06:05:00.000+10:00,0.877644381232642,-12.235561876735801,10,0.000404458817245748,0.00035497100839573077,0.0005027735368964163,53.11712727812687,0.0003916386417658242,96.83028903480813,0,1,PriceBreakout_5pct_20pctTrail_24h
6cHJn25Pay6nd4JJsKKZ8Fmm2NL43t8BY5Mp1hhiUb56,Bitmart Mascot,BITTO,meta maxist,2025-07-30T19:50:05.000+10:00,2025-07-30T19:50:05.000+10:00,2025-07-31T00:15:00.000+10:00,2025-07-31T00:20:00.000+10:00,0.9955592407849458,-0.44407592150541575,5,0.00028501888718011854,0.00028375318693040896,0.00039825899914879237,93.18014133789401,0.0002472164341433847,86.73686034959344,4,1,PriceBreakout_5pct_20pctTrail_24h
yNdBHZXkU6R3dBXE7q5DFoDx5gBwnPDtbEFMSJsbonk,Imagine Grok Companion,IMAGINE,meta maxist,2025-08-01T07:10:31.000+10:00,2025-08-01T07:10:31.000+10:00,2025-08-01T11:35:00.000+10:00,2025-08-01T11:45:00.000+10:00,0.7920150000000002,-20.798499999999976,10,0.0002095529137900023,0.00016596905101538871,0.0002455766668350069,40.01346928202621,0.00012015104130250888,57.336850692954314,4,1,PriceBreakout_5pct_20pctTrail_24h
CvbYok7aFZJXjBKrWeXsC42ejki5iWm9tSUdSGspbonk,Noiseless Coin,NOISELESS,meta maxist,2025-08-01T18:05:27.000+10:00,2025-08-01T18:05:27.000+10:00,2025-08-01T20:20:00.000+10:00,2025-08-01T21:00:00.000+10:00,1.307909394450641,30.790939445064105,40,0.00003834786586588988,0.00005015553402313044,0.00022299013604030346,763.5744101499265,0.00003411970961766226,88.97420716184227,9,1,PriceBreakout_5pct_20pctTrail_24h
8Ejzgzic8ubyoARqXjJX6S2mYkGxiKHJx5rb5feBbonk,Kai Grok Companion,KAI,meta maxist,2025-08-01T18:46:37.000+10:00,2025-08-01T18:46:37.000+10:00,2025-08-01T23:10:00.000+10:00,2025-08-01T23:15:00.000+10:00,0.792015,-20.798499999999997,5,0.0005656732551813522,0.0004480217032024587,0.0007229590148187496,414.1577607034045,0.0004455100270948623,78.75748464580208,3,1,PriceBreakout_5pct_20pctTrail_24h
3MwfC8upr8dWxFfTKNZTk4SWfHa8Vx6XE6VCCZYbbonk,,,meta maxist,2025-08-02T01:45:00.000+10:00,2025-08-02T01:45:00.000+10:00,2025-08-02T06:20:00.000+10:00,2025-08-02T06:25:00.000+10:00,0.8446321931001495,-15.536780689985052,5,0.0001680455118347802,0.00014193664920164752,0.000581230855774891,266.8094189494253,0.00015451844361598165,91.95035435870601,0,1,PriceBreakout_5pct_20pctTrail_24h
AVXvi73TrnRtScxzkNBxvth9uy8dHUrjaZoDwgzsbonk,First Meme Dog,BOBA,meta maxist,2025-08-02T20:35:29.000+10:00,2025-08-02T20:35:29.000+10:00,2025-08-02T22:50:00.000+10:00,2025-08-02T23:25:00.000+10:00,1.3089043043396682,30.89043043396682,35,0.000024676849130599343,0.00003229963404458208,0.00011313863916237835,395.0817889528036,0.000018505087205725774,74.98966787773334,4,1,PriceBreakout_5pct_20pctTrail_24h
FQt3RH31JCPXvVaXKc1uZACbshjYvvBfaqST4465bonk,cap,CAP,meta maxist,2025-08-02T23:49:40.000+10:00,2025-08-02T23:49:40.000+10:00,2025-08-03T03:05:00.000+10:00,2025-08-03T03:05:00.000+10:00,1.0052472146128084,0.5247214612808415,0,0.000026140507747268638,0.000026277672601506337,0.00004653842956916346,88.80628203783448,0.000020730575188704188,79.30440903876581,0,1,PriceBreakout_5pct_20pctTrail_24h
J3u73qgyeuaeunH1uwsT6QLFa24YNeZSjSEdCjAebonk,FFFFFFFFFFFFFUUUUUUUUUUUUUUUU,RAGEGUY,meta maxist,2025-08-04T06:42:07.000+10:00,2025-08-04T06:42:07.000+10:00,2025-08-04T11:05:00.000+10:00,2025-08-04T11:10:00.000+10:00,0.7920150000000002,-20.798499999999976,5,0.0016931800523703796,0.0013410239991781265,0.002867373876032685,534.3461797005658,0.0010735207714188326,63.402635172552934,2,1,PriceBreakout_5pct_20pctTrail_24h
Cyq8R8jBaZtwCRR4UkjEsXmdEbQB3jmkvhoSRELGdYCy,,,meta maxist,2025-08-06T00:31:51.000+10:00,2025-08-06T00:31:51.000+10:00,2025-08-06T01:05:00.000+10:00,2025-08-06T04:40:00.000+10:00,0.7920150000000001,-20.798499999999986,215,0.000022695994298364118,0.00001797556792421886,0.000022833938127055785,21.97191724397831,0.000016235818848832086,71.53605449223404,3,1,PriceBreakout_5pct_20pctTrail_24h
347k5f1WLRYe81roRcLBWDR6k3eCRunaqetQPW6pbonk,🦎,LIZARD,meta maxist,2025-08-07T03:29:03.000+10:00,2025-08-07T03:29:03.000+10:00,2025-08-07T05:10:00.000+10:00,2025-08-07T05:20:00.000+10:00,0.8374175763531486,-16.258242364685138,10,0.01344827654934469,0.011261823154079115,0.01525996366368276,20.338779742440583,0.009210443096963394,68.48790670810679,0,1,PriceBreakout_5pct_20pctTrail_24h
7N8DAjVAavYGTGHdT2uQ2pGpPNRs9tvZTiPvVMKSpump,Token 7N8DAjVA,JOB,meta maxist,2025-08-07T03:50:38.000+10:00,2025-08-07T03:50:38.000+10:00,2025-08-07T06:05:00.000+10:00,2025-08-07T06:05:00.000+10:00,0.9246368624398454,-7.536313756015456,0,0.00014472391329830325,0.00013381706511215934,0.0003491603517033813,186.53428573808947,0.00013677339427115395,94.50642340581146,4,1,PriceBreakout_5pct_20pctTrail_24h
AXAEjYZYMitWgXw6xy5zfCeQ2UvsViShmMgxL1Bfpump,Token AXAEjYZY,MONO,meta maxist,2025-08-07T17:37:18.000+10:00,2025-08-07T17:37:18.000+10:00,2025-08-07T17:40:00.000+10:00,2025-08-07T18:40:00.000+10:00,0.8019809374095579,-19.80190625904421,60,0.0001390658776343125,0.00011152818290684881,0.00022992367232511123,75.34033888908178,0.0001290852123136527,92.82306667139083,2,1,PriceBreakout_5pct_20pctTrail_24h
G2ajLzpiW6tPvRqdjz6QfFKyArrh7zh66Zi1rmoppump,Token G2ajLzpi,LITTLEBUCK,meta maxist,2025-08-07T19:04:46.000+10:00,2025-08-07T19:04:46.000+10:00,2025-08-07T19:05:00.000+10:00,2025-08-07T20:10:00.000+10:00,1.3320647266454355,33.206472664543554,65,0.0005336685518036225,0.0007108810535775579,0.0026250094259642484,421.6485338511308,0.00026863007520802135,50.33650086746556,0,1,PriceBreakout_5pct_20pctTrail_24h
45peQFd9KD5pb8inMDN4RFGXdsyQEZY3qFDgvrgpBAGS,Bags Wif Hat,BWH,meta maxist,2025-08-08T09:20:04.000+10:00,2025-08-08T09:20:04.000+10:00,2025-08-08T11:10:00.000+10:00,2025-08-08T11:10:00.000+10:00,0.7969673391654026,-20.303266083459736,0,0.0006890587311421993,0.0005491573034870871,0.0011035648087977905,284.7453312451366,0.0005177990137161302,75.14584611065227,4,1,PriceBreakout_5pct_20pctTrail_24h
2kBaWJjNf2XiEWjg4qhWtTXoVN5EvJAvZPv8vyWB8A4M,Token 2kBaWJjN,GFF,meta maxist,2025-08-08T09:48:45.000+10:00,2025-08-08T09:48:45.000+10:00,2025-08-08T13:05:00.000+10:00,2025-08-08T13:05:00.000+10:00,0.7920150000000001,-20.798499999999986,0,0.0000915035889910223,0.00007247221503472454,0.00025571186421165573,196.36811988914945,0.000048110881722220774,52.57813628156277,1,1,PriceBreakout_5pct_20pctTrail_24h
61uiuu5aAc2HG1ZQaHd3opfLnK6cM4FQnE1jRi28pump,Token 61uiuu5a,DOG,meta maxist,2025-08-09T04:05:28.000+10:00,2025-08-09T04:05:28.000+10:00,2025-08-09T06:15:00.000+10:00,2025-08-09T06:15:00.000+10:00,0.8406492356330806,-15.935076436691942,0,0.0038555507767672847,0.003241165813433948,0.008301754403700954,128.350616958976,0.0020956129194888116,54.353140208048146,4,1,PriceBreakout_5pct_20pctTrail_24h
AhiEuwGafsTbu2oUkk1Tmbprg1wdUvWiUCLVvAwvBAGS,Token AhiEuwGa,BOSS,meta maxist,2025-08-10T00:28:23.000+10:00,2025-08-10T00:28:23.000+10:00,2025-08-10T00:55:00.000+10:00,2025-08-10T01:10:00.000+10:00,0.8594339780186675,-14.05660219813325,15,0.0034393075720482984,0.002955857788275194,0.00507239391567903,134.2591430847794,0.003049989517252774,88.68033618279554,1,1,PriceBreakout_5pct_20pctTrail_24h
DY3zvicBEMYek2XmnpmpMEzGhMGixzsAaQjaKJRQBAGS,Alex Rosen,PEDOHUNTER,meta maxist,2025-08-10T23:36:17.000+10:00,2025-08-10T23:36:17.000+10:00,2025-08-11T04:05:00.000+10:00,2025-08-11T04:35:00.000+10:00,1.3478833030995536,34.78833030995536,30,0.00004636860165271986,0.00006249946395577546,0.0006332664505318072,1348.3756556907786,0.000023154376174683236,49.93546354513596,3,1,PriceBreakout_5pct_20pctTrail_24h
EtKq5MVm8vFFVAYHX9Y7rYMQu2aWfXDxt7eEnZDjpBvm,,,meta maxist,2025-08-13T00:03:53.000+10:00,2025-08-13T00:03:53.000+10:00,2025-08-13T04:25:00.000+10:00,2025-08-13T04:45:00.000+10:00,0.9251464325355314,-7.4853567464468584,20,0.0008069818669157507,0.0007465763952979697,0.0013432874678811135,250.59589023619776,0.00037643448388643297,46.64720476621725,1,1,PriceBreakout_5pct_20pctTrail_24h
