Strategy,Total PnL %,Total Trades,Win Rate %,Avg Win,Avg Loss,Profit Factor,Sharpe Ratio,Max Drawdown %,Trailing Stop %,Stop Activation,Min Exit %,Profit Targets
"Strategy_3929","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","15","2.0x","60","[]"
"Strategy_3939","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","15","2.5x","60","[]"
"Strategy_3949","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","15","3.0x","60","[]"
"Strategy_3959","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","15","3.5x","60","[]"
"Strategy_3969","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","15","4.0x","60","[]"
"Strategy_3979","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","15","4.5x","60","[]"
"Strategy_3989","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","15","5.0x","60","[]"
"Strategy_3999","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","20","2.0x","60","[]"
"Strategy_4009","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","20","2.5x","60","[]"
"Strategy_4019","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","20","3.0x","60","[]"
"Strategy_4029","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","20","3.5x","60","[]"
"Strategy_4039","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","20","4.0x","60","[]"
"Strategy_4049","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","20","4.5x","60","[]"
"Strategy_4059","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","20","5.0x","60","[]"
"Strategy_4069","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","25","2.0x","60","[]"
"Strategy_4079","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","25","2.5x","60","[]"
"Strategy_4089","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","25","3.0x","60","[]"
"Strategy_4099","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","25","3.5x","60","[]"
"Strategy_4109","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","25","4.0x","60","[]"
"Strategy_4119","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","25","4.5x","60","[]"
"Strategy_4129","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","25","5.0x","60","[]"
"Strategy_4139","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","30","2.0x","60","[]"
"Strategy_4149","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","30","2.5x","60","[]"
"Strategy_4159","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","30","3.0x","60","[]"
"Strategy_4169","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","30","3.5x","60","[]"
"Strategy_4179","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","30","4.0x","60","[]"
"Strategy_4189","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","30","4.5x","60","[]"
"Strategy_4199","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","30","5.0x","60","[]"
"Strategy_4209","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","35","2.0x","60","[]"
"Strategy_4219","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","35","2.5x","60","[]"
"Strategy_4229","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","35","3.0x","60","[]"
"Strategy_4239","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","35","3.5x","60","[]"
"Strategy_4249","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","35","4.0x","60","[]"
"Strategy_4259","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","35","4.5x","60","[]"
"Strategy_4269","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","35","5.0x","60","[]"
"Strategy_4279","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","40","2.0x","60","[]"
"Strategy_4289","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","40","2.5x","60","[]"
"Strategy_4299","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","40","3.0x","60","[]"
"Strategy_4309","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","40","3.5x","60","[]"
"Strategy_4319","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","40","4.0x","60","[]"
"Strategy_4329","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","40","4.5x","60","[]"
"Strategy_4339","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","40","5.0x","60","[]"
"Strategy_4349","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","45","2.0x","60","[]"
"Strategy_4359","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","45","2.5x","60","[]"
"Strategy_4369","52.24","238","11.76","7.2927","0.3804","2.56","0.05","33.93","45","3.0x","60","[]"
