TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter
1,2025-07-18T14:50:51.000Z,1.004519,10.00,0.05,100.00,100.05
2,2025-07-18T16:26:39.000Z,0.800000,10.00,-2.00,100.05,98.05
3,2025-07-18T17:15:38.000Z,0.800000,10.00,-2.00,98.05,96.05
4,2025-07-18T18:20:22.000Z,1.000000,10.00,0.00,96.05,96.05
5,2025-07-18T19:23:45.000Z,1.136257,10.00,1.36,96.05,97.41
6,2025-07-18T19:23:58.000Z,0.814130,10.00,-1.86,97.41,95.55
7,2025-07-18T19:38:01.000Z,1.017391,10.00,0.17,95.55,95.72
8,2025-07-18T19:47:22.000Z,0.954258,10.00,-0.46,95.72,95.27
9,2025-07-18T20:14:53.000Z,0.969792,10.00,-0.30,95.27,94.96
10,2025-07-18T20:45:19.000Z,1.125280,10.00,1.25,94.96,96.22
11,2025-07-18T21:18:13.000Z,1.349672,10.00,3.50,96.22,99.71
12,2025-07-18T22:41:09.000Z,0.968306,10.00,-0.32,99.71,99.40
13,2025-07-18T22:47:32.000Z,0.968726,10.00,-0.31,99.40,99.08
14,2025-07-19T00:56:08.000Z,1.036317,10.00,0.36,99.08,99.45
15,2025-07-19T00:56:52.000Z,1.108333,10.00,1.08,99.45,100.53
16,2025-07-19T00:59:31.000Z,0.987536,10.00,-0.12,100.53,100.41
17,2025-07-19T01:05:40.000Z,1.036022,10.00,0.36,100.41,100.77
18,2025-07-19T04:13:29.000Z,1.622214,10.00,6.22,100.77,106.99
19,2025-07-19T07:06:49.000Z,1.234125,10.00,2.34,106.99,109.33
20,2025-07-19T08:02:24.000Z,1.142585,10.00,1.43,109.33,110.75
21,2025-07-19T08:26:51.000Z,1.030744,10.00,0.31,110.75,111.06
22,2025-07-19T08:34:53.000Z,1.045107,10.00,0.45,111.06,111.51
23,2025-07-19T09:39:43.000Z,1.224873,10.00,2.25,111.51,113.76
24,2025-07-19T09:53:13.000Z,0.800000,10.00,-2.00,113.76,111.76
25,2025-07-19T10:39:09.000Z,1.082336,10.00,0.82,111.76,112.59
26,2025-07-19T10:39:40.000Z,1.001028,10.00,0.01,112.59,112.60
27,2025-07-19T10:42:00.000Z,0.994991,10.00,-0.05,112.60,112.55
28,2025-07-19T11:04:33.000Z,1.042458,10.00,0.42,112.55,112.97
29,2025-07-19T11:50:14.000Z,0.926963,10.00,-0.73,112.97,112.24
30,2025-07-19T13:12:35.000Z,1.091599,10.00,0.92,112.24,113.16
31,2025-07-19T13:14:28.000Z,1.000000,10.00,0.00,113.16,113.16
32,2025-07-19T16:00:45.000Z,1.018279,10.00,0.18,113.16,113.34
33,2025-07-19T16:00:53.000Z,0.969592,10.00,-0.30,113.34,113.03
34,2025-07-19T17:15:21.000Z,0.972315,10.00,-0.28,113.03,112.76
35,2025-07-19T17:17:22.000Z,0.964861,10.00,-0.35,112.76,112.41
36,2025-07-19T19:27:48.000Z,0.878910,10.00,-1.21,112.41,111.20
37,2025-07-19T19:55:25.000Z,0.989701,10.00,-0.10,111.20,111.09
38,2025-07-19T22:31:00.000Z,0.971523,10.00,-0.28,111.09,110.81
39,2025-07-19T23:31:30.000Z,2.169927,10.00,11.70,110.81,122.51
40,2025-07-20T00:03:09.000Z,1.023507,10.00,0.24,122.51,122.74
41,2025-07-20T12:52:28.000Z,0.998259,10.00,-0.02,122.74,122.72
42,2025-07-20T12:54:29.000Z,1.074776,10.00,0.75,122.72,123.47
43,2025-07-20T13:22:38.000Z,0.964226,10.00,-0.36,123.47,123.11
44,2025-07-20T14:16:35.000Z,1.037060,12.31,0.46,123.11,123.57
45,2025-07-20T14:21:46.000Z,1.035366,12.31,0.44,123.57,124.01
46,2025-07-20T15:11:04.000Z,0.975249,12.31,-0.30,124.01,123.70
47,2025-07-20T16:08:04.000Z,1.000000,12.31,0.00,123.70,123.70
48,2025-07-20T16:46:45.000Z,1.152514,12.31,1.88,123.70,125.58
49,2025-07-20T17:13:52.000Z,1.000000,12.31,0.00,125.58,125.58
50,2025-07-20T20:07:20.000Z,1.276694,12.31,3.41,125.58,128.99
51,2025-07-20T20:08:04.000Z,0.972010,12.31,-0.34,128.99,128.64
52,2025-07-20T21:08:14.000Z,0.987164,12.31,-0.16,128.64,128.48
53,2025-07-21T01:57:10.000Z,0.909748,12.31,-1.11,128.48,127.37
54,2025-07-21T01:57:24.000Z,0.986593,12.31,-0.17,127.37,127.21
55,2025-07-21T01:57:36.000Z,0.959076,12.31,-0.50,127.21,126.70
56,2025-07-21T07:38:24.000Z,1.145178,12.31,1.79,126.70,128.49
57,2025-07-21T07:38:33.000Z,0.800000,12.31,-2.46,128.49,126.03
58,2025-07-21T07:43:00.000Z,0.986364,12.31,-0.17,126.03,125.86
59,2025-07-21T08:04:35.000Z,0.992286,12.31,-0.09,125.86,125.77
60,2025-07-21T09:17:54.000Z,1.024538,12.31,0.30,125.77,126.07
61,2025-07-21T10:37:16.000Z,0.895550,12.31,-1.29,126.07,124.78
62,2025-07-21T10:49:56.000Z,1.293214,12.31,3.61,124.78,128.39
63,2025-07-21T11:10:43.000Z,0.959631,12.31,-0.50,128.39,127.89
64,2025-07-21T12:01:24.000Z,0.981108,12.31,-0.23,127.89,127.66
65,2025-07-21T12:45:56.000Z,0.972460,12.31,-0.34,127.66,127.32
66,2025-07-21T12:47:32.000Z,0.956677,12.31,-0.53,127.32,126.79
67,2025-07-21T14:02:02.000Z,0.985510,12.31,-0.18,126.79,126.61
68,2025-07-21T14:56:49.000Z,0.996660,12.31,-0.04,126.61,126.57
69,2025-07-21T15:02:23.000Z,0.994430,12.31,-0.07,126.57,126.50
70,2025-07-21T15:40:31.000Z,0.819260,12.31,-2.23,126.50,124.28
71,2025-07-21T15:53:15.000Z,0.864706,12.31,-1.67,124.28,122.61
72,2025-07-21T15:54:37.000Z,1.109199,12.31,1.34,122.61,123.95
73,2025-07-21T16:02:35.000Z,0.977412,12.31,-0.28,123.95,123.68
74,2025-07-21T16:35:44.000Z,0.993456,12.31,-0.08,123.68,123.60
75,2025-07-21T16:55:58.000Z,1.111969,12.31,1.38,123.60,124.97
76,2025-07-21T18:26:46.000Z,1.019589,12.31,0.24,124.97,125.22
77,2025-07-21T18:29:00.000Z,0.878908,12.31,-1.49,125.22,123.72
78,2025-07-21T18:33:29.000Z,0.839295,12.31,-1.98,123.72,121.75
79,2025-07-21T20:13:54.000Z,1.030310,12.31,0.37,121.75,122.12
80,2025-07-21T22:46:53.000Z,1.002686,12.31,0.03,122.12,122.15
81,2025-07-22T07:55:13.000Z,0.966229,12.31,-0.42,122.15,121.74
82,2025-07-22T08:00:00.000Z,1.000000,12.31,0.00,121.74,121.74
83,2025-07-22T08:19:12.000Z,1.263576,12.31,3.24,121.74,124.98
84,2025-07-22T11:29:38.000Z,1.004087,12.31,0.05,124.98,125.03
85,2025-07-22T11:58:16.000Z,0.917813,12.31,-1.01,125.03,124.02
86,2025-07-22T13:25:19.000Z,1.140950,12.31,1.74,124.02,125.76
87,2025-07-22T13:25:38.000Z,1.572698,12.31,7.05,125.76,132.81
88,2025-07-22T16:30:19.000Z,1.000000,12.31,0.00,132.81,132.81
89,2025-07-22T16:35:54.000Z,0.998041,12.31,-0.02,132.81,132.78
90,2025-07-22T20:04:34.000Z,1.002241,12.31,0.03,132.78,132.81
91,2025-07-22T20:04:52.000Z,1.037972,12.31,0.47,132.81,133.28
92,2025-07-22T20:28:00.000Z,0.938777,12.31,-0.75,133.28,132.52
93,2025-07-22T20:31:48.000Z,0.947208,12.31,-0.65,132.52,131.87
94,2025-07-22T21:33:04.000Z,0.904196,12.31,-1.18,131.87,130.69
95,2025-07-22T22:03:55.000Z,0.973031,12.31,-0.33,130.69,130.36
96,2025-07-23T01:24:32.000Z,1.071287,12.31,0.88,130.36,131.24
97,2025-07-23T01:25:30.000Z,0.907734,12.31,-1.14,131.24,130.10
98,2025-07-23T07:46:40.000Z,1.001415,12.31,0.02,130.10,130.12
