Strategy,TokenAddress,AlertTime,EntryTime,ExitTime,EntryPrice,PnL,PnLPercent,MaxReached,MaxGainPercent,TokenMaxDrawdownPercent,HoldDurationHours
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,56UDDutoCf2iGMhfCTjmKuyseeJCpnMhcKPjoyFQbonk,2025-07-18T19:23:45.000Z,2025-07-20T02:00:00.000+10:00,2025-07-20T04:00:00.000+10:00,0.00000733,1.4789,47.89,1.0000,0.00,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,8qGR2zjDDXBins24urtvRMEWiE7tUr6xJ8nUCbY6bonk,2025-07-18T19:23:58.000Z,2025-07-23T02:00:00.000+10:00,2025-07-23T04:00:00.000+10:00,0.00001325,0.8500,-15.00,1.0000,0.00,15.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,GBZ9knZmAsCSPzxPqrFEKCXX5JBx1Yr3LKDxnKNqpump,2025-07-18T20:14:53.000Z,2025-07-19T16:00:00.000+10:00,2025-07-19T17:00:00.000+10:00,0.00006397,0.8500,-15.00,1.0000,0.00,15.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,4F6ELbjNxSHF7e23i9iKM9YcaPF4HuvFGhGPrQwWEUse,2025-07-19T16:00:45.000Z,2025-07-22T07:00:00.000+10:00,2025-07-23T13:00:00.000+10:00,0.00000565,1.0189,1.89,1.0194,1.94,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,4Qtz3GigvxHYpHCMVAo4mYpWJYk8jfBr8RPVcysAbonk,2025-07-19T19:27:48.000Z,2025-07-23T21:00:00.000+10:00,2025-07-24T01:00:00.000+10:00,0.00001478,0.8789,-12.11,1.0000,0.00,12.11,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,HKZQxDqqw1U7MmzEcjc4JocEnZJ75nBKudcKs8xgbonk,2025-07-20T20:08:04.000Z,2025-07-21T14:00:00.000+10:00,2025-07-21T16:00:00.000+10:00,0.00001863,0.8725,-12.75,1.0065,0.65,12.75,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,3UofsdJQyTe8PF3HMUR8KEB13wtwGkk4qyAhgLCgbonk,2025-07-21T10:49:56.000Z,2025-07-23T22:00:00.000+10:00,2025-07-23T23:00:00.000+10:00,0.00017638,0.8500,-15.00,1.0422,4.22,15.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,G6kPdKoUjmXkXq6Skuon1mg77q4E3YXuUGjgadXL4pQt,2025-07-22T07:55:13.000Z,2025-07-24T17:00:00.000+10:00,2025-07-24T19:00:00.000+10:00,0.00000574,0.9806,-1.94,1.0000,0.00,1.94,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,6S3nudT5wn6RNmnY1pXLLyJoEMM53HF5tg6Baqrmbonk,2025-07-22T08:00:00.000Z,2025-07-27T23:00:00.000+10:00,2025-07-28T08:00:00.000+10:00,0.00000546,1.0000,0.00,1.0000,0.00,0.00,0.00
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,CfVs3waH2Z9TM397qSkaipTDhA9wWgtt8UchZKfwkYiu,2025-07-22T20:31:48.000Z,2025-07-24T12:00:00.000+10:00,2025-07-24T15:00:00.000+10:00,0.00762585,0.9862,-1.38,1.1009,10.09,1.38,0.00
