Strategy,WeekStart,Trades,PortfolioStart,PortfolioEnd,ReturnPercent,Multiplier
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-07-14,5,100.00,100.69,0.69,1.0069
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-07-21,12,100.69,99.22,-1.46,0.9854
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-07-28,19,99.22,490.99,394.84,4.9484
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-08-04,28,490.99,633.30,28.98,1.2898
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-08-11,25,633.30,729.55,15.20,1.1520
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-08-18,11,729.55,998.42,36.85,1.3685
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-08-25,14,998.42,1068.55,7.02,1.0702
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-09-01,17,1068.55,1416.40,32.55,1.3255
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-09-08,21,1416.40,1807.13,27.59,1.2759
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-09-15,11,1807.13,2023.14,11.95,1.1195
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-09-22,5,2023.14,2081.73,2.90,1.0290
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-09-29,3,2081.73,2077.26,-0.22,0.9978
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-10-06,5,2077.26,2123.12,2.21,1.0221
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-10-13,4,2123.12,2247.72,5.87,1.0587
PT2_SL15_TS10@1.3_NoExitCross_KijunSL_NoClamp,2025-10-20,4,2247.72,2239.13,-0.38,0.9962
