Week,PortfolioValue_Reinvestment,PortfolioValue_NoReinvestment,Return_Reinvestment,Return_NoReinvestment,MaxDrawdown_Reinvestment,MaxDrawdown_NoReinvestment
2025-07-14,100.49,100.52,0.49,0.52,2.56,2.53
2025-07-21,112.19,111.89,12.19,11.89,5.17,5.04
2025-07-28,97.69,98.94,-2.31,-1.06,16.79,15.53
2025-08-04,103.83,105.40,3.83,5.40,6.73,6.57
2025-08-11,114.68,115.65,14.68,15.65,4.01,3.62
2025-08-18,117.80,118.94,17.80,18.94,8.01,6.63
2025-08-25,122.34,123.27,22.34,23.27,9.45,7.62
2025-09-01,111.72,114.51,11.72,14.51,11.17,9.22
2025-09-08,98.77,102.80,-1.23,2.80,15.50,13.80
2025-09-15,108.12,113.54,8.12,13.54,16.43,15.42
2025-09-22,148.90,148.95,48.90,48.95,5.70,3.85
2025-09-29,142.93,145.03,42.93,45.03,8.82,5.89
2025-10-06,188.19,177.18,88.19,77.18,7.67,4.77
2025-10-13,185.78,175.97,85.78,75.97,4.21,2.37
2025-10-20,173.58,169.33,73.58,69.33,6.63,3.80
2025-10-27,165.00,164.39,65.00,64.39,9.90,5.83
2025-11-03,164.62,164.16,64.62,64.16,3.27,1.95
