Date,PortfolioValue_Reinvestment,PortfolioValue_NoReinvestment,Return_Reinvestment,Return_NoReinvestment
2025-07-19,99.82,99.82,-0.18,-0.18
2025-07-20,99.19,99.21,-0.81,-0.79
2025-07-21,100.17,100.19,0.17,0.19
2025-07-22,95.95,95.96,-4.05,-4.04
2025-07-25,97.05,97.13,-2.95,-2.87
2025-07-23,95.10,95.09,-4.90,-4.91
2025-07-27,97.60,97.74,-2.40,-2.26
2025-07-28,99.32,99.49,-0.68,-0.51
2025-07-24,97.60,97.70,-2.40,-2.30
2025-07-26,100.85,101.07,0.85,1.07
2025-07-29,90.26,90.24,-9.74,-9.76
2025-07-30,91.54,91.57,-8.46,-8.43
2025-07-31,88.90,88.81,-11.10,-11.19
2025-08-02,93.48,93.77,-6.52,-6.23
2025-08-04,91.80,91.97,-8.20,-8.03
2025-08-03,92.57,92.80,-7.43,-7.20
2025-08-05,92.48,92.73,-7.52,-7.27
2025-08-06,88.20,88.07,-11.80,-11.93
2025-08-08,90.08,90.16,-9.92,-9.84
2025-08-07,88.18,88.05,-11.82,-11.95
2025-08-10,90.86,91.08,-9.14,-8.92
2025-08-12,90.52,90.72,-9.48,-9.28
2025-08-11,92.40,92.76,-7.60,-7.24
2025-08-13,91.99,92.32,-8.01,-7.68
2025-08-14,96.09,96.78,-3.91,-3.22
2025-08-15,94.51,95.08,-5.49,-4.92
2025-08-16,99.14,100.00,-0.86,0.00
2025-08-17,96.87,97.62,-3.13,-2.38
2025-08-18,92.11,92.71,-7.89,-7.29
2025-08-19,91.42,91.99,-8.58,-8.01
2025-08-20,102.05,103.24,2.05,3.24
2025-08-22,95.89,96.90,-4.11,-3.10
2025-08-21,95.02,96.01,-4.98,-3.99
2025-08-23,94.28,95.25,-5.72,-4.75
2025-08-24,94.82,95.82,-5.18,-4.18
2025-08-26,103.85,105.38,3.85,5.38
2025-08-25,94.79,95.79,-5.21,-4.21
2025-08-27,97.77,99.45,-2.23,-0.55
2025-08-28,98.49,100.16,-1.51,0.16
2025-08-29,101.75,103.46,1.75,3.46
2025-08-30,102.93,104.65,2.93,4.65
2025-08-31,101.02,102.73,1.02,2.73
2025-09-02,100.46,102.17,0.46,2.17
2025-09-03,106.66,108.35,6.66,8.35
2025-09-04,104.62,106.38,4.62,6.38
2025-09-05,104.68,106.43,4.68,6.43
2025-09-06,104.53,106.29,4.53,6.29
2025-09-07,101.89,103.77,1.89,3.77
2025-09-09,96.95,98.96,-3.05,-1.04
2025-09-08,98.96,100.95,-1.04,0.95
2025-09-12,88.02,89.84,-11.98,-10.16
2025-09-11,90.00,91.92,-10.00,-8.08
2025-09-17,79.47,80.01,-20.53,-19.99
2025-09-13,87.89,89.69,-12.11,-10.31
2025-09-15,84.65,86.06,-15.35,-13.94
2025-09-14,87.37,89.15,-12.63,-10.85
2025-09-16,83.25,84.43,-16.75,-15.57
2025-09-18,78.92,79.35,-21.08,-20.65
2025-09-21,78.91,79.37,-21.09,-20.63
2025-09-20,77.92,78.12,-22.08,-21.88
2025-09-22,91.86,95.75,-8.14,-4.25
2025-09-23,100.07,105.41,0.07,5.41
2025-09-24,98.06,103.18,-1.94,3.18
2025-09-26,101.63,107.08,1.63,7.08
2025-09-25,101.89,107.34,1.89,7.34
2025-09-27,100.12,105.54,0.12,5.54
2025-09-29,99.93,105.35,-0.07,5.35
2025-09-28,95.94,101.38,-4.06,1.38
2025-10-01,92.42,97.82,-7.58,-2.18
2025-09-30,94.08,99.52,-5.92,-0.48
2025-10-02,91.77,97.15,-8.23,-2.85
2025-10-03,92.01,97.39,-7.99,-2.61
2025-10-05,90.76,96.06,-9.24,-3.94
2025-10-06,92.51,98.00,-7.49,-2.00
2025-10-08,114.07,121.78,14.07,21.78
2025-10-07,116.41,124.17,16.41,24.17
2025-10-09,111.25,119.17,11.25,19.17
2025-10-10,110.91,118.87,10.91,18.87
2025-10-11,109.80,117.88,9.80,17.88
2025-10-13,111.20,119.15,11.20,19.15
2025-10-14,110.88,118.86,10.88,18.86
2025-10-16,111.79,119.70,11.79,19.70
2025-10-19,110.06,118.15,10.06,18.15
2025-10-17,113.71,121.41,13.71,21.41
2025-10-15,111.56,119.49,11.56,19.49
2025-10-18,111.40,119.34,11.40,19.34
2025-10-23,107.43,115.76,7.43,15.76
2025-10-26,110.08,118.17,10.08,18.17
2025-10-27,103.69,112.30,3.69,12.30
2025-10-22,109.43,117.58,9.43,17.58
2025-10-25,104.41,112.98,4.41,12.98
2025-10-24,104.87,113.41,4.87,13.41
2025-10-28,102.88,111.54,2.88,11.54
2025-10-29,103.71,112.33,3.71,12.33
2025-11-01,101.68,110.39,1.68,10.39
2025-11-02,104.14,112.75,4.14,12.75
2025-11-04,102.68,111.34,2.68,11.34
2025-11-05,103.90,112.52,3.90,12.52
