Week,PortfolioValue_Reinvestment,PortfolioValue_NoReinvestment,Return_Reinvestment,Return_NoReinvestment,MaxDrawdown_Reinvestment,MaxDrawdown_NoReinvestment
2025-07-14,98.88,98.88,-1.12,-1.12,0.00,0.00
2025-07-21,102.12,102.18,2.12,2.18,4.49,4.52
2025-07-28,96.68,96.77,-3.32,-3.23,6.98,6.97
2025-08-04,108.46,108.60,8.46,8.60,4.04,4.09
2025-08-11,110.21,110.27,10.21,10.27,4.17,3.90
2025-08-18,111.57,111.73,11.57,11.73,6.15,5.36
2025-08-25,116.01,115.62,16.01,15.62,1.73,1.53
2025-09-01,109.42,109.91,9.42,9.91,8.35,7.31
2025-09-08,106.89,107.91,6.89,7.91,8.94,7.90
2025-09-15,106.83,107.97,6.83,7.97,3.62,3.28
