TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-07-24T10:39:52.000Z,1.000270,10.00,0.00,100.00,100.00,100.00
2,2025-08-09T14:05:35.000Z,0.869418,10.00,-1.31,100.00,98.70,100.00
3,2025-08-09T14:50:14.000Z,1.000000,9.96,0.00,98.70,98.70,99.57
4,2025-08-09T20:02:41.000Z,1.769417,9.93,7.64,98.70,106.34,99.35
5,2025-08-12T13:34:31.000Z,0.986245,10.07,-0.14,106.34,106.20,100.75
6,2025-08-14T22:11:46.000Z,0.984134,10.17,-0.16,106.20,106.04,101.66
7,2025-08-18T21:37:40.000Z,1.033308,10.23,0.34,106.04,106.38,102.28
8,2025-08-20T13:02:47.000Z,1.025817,10.28,0.27,106.38,106.65,102.80
9,2025-08-24T19:16:59.000Z,1.000000,10.32,0.00,106.65,106.65,103.22
10,2025-08-24T20:38:42.000Z,0.985468,10.36,-0.15,106.65,106.50,103.57
11,2025-08-25T13:32:29.000Z,1.113263,10.42,1.18,106.50,107.68,104.22
12,2025-08-26T15:52:24.000Z,1.000000,10.50,0.00,107.68,107.68,104.98
13,2025-08-27T18:55:42.000Z,0.990902,10.59,-0.10,107.68,107.58,105.88
14,2025-08-31T20:28:13.000Z,1.000000,10.68,0.00,107.58,107.58,106.77
15,2025-09-01T12:19:32.000Z,0.996196,10.69,-0.04,107.58,107.54,106.89
16,2025-09-04T16:09:56.000Z,0.926831,10.70,-0.78,107.54,106.76,107.03
17,2025-09-05T14:29:04.000Z,1.000000,10.71,0.00,106.76,106.76,107.10
18,2025-09-05T20:03:38.000Z,1.000000,10.71,0.00,106.76,106.76,107.14
19,2025-09-08T09:53:19.000Z,1.054123,10.71,0.58,106.76,107.34,107.15
20,2025-09-22T16:47:24.000Z,1.009454,10.72,0.10,107.34,107.44,107.22
21,2025-09-25T11:25:34.000Z,0.800000,10.73,-2.15,107.44,105.29,107.31
22,2025-09-25T15:13:17.000Z,1.000000,10.71,0.00,105.29,105.29,107.07
23,2025-10-19T18:33:29.000Z,0.918634,10.68,-0.87,105.29,104.42,106.83
24,2025-10-22T13:50:22.000Z,0.985477,10.65,-0.15,104.42,104.27,106.52
