TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-07-19T22:31:00.000Z,1.183299,10.00,1.83,100.00,101.83,100.00
2,2025-07-19T23:31:30.000Z,0.800000,10.09,-2.02,101.83,99.81,100.92
3,2025-07-20T00:03:09.000Z,1.229009,10.05,2.30,99.81,102.12,100.55
4,2025-07-20T02:12:44.000Z,0.917591,10.09,-0.83,102.12,101.29,100.94
5,2025-07-20T03:33:06.000Z,1.000000,10.10,0.00,101.29,101.29,101.01
6,2025-07-23T01:24:32.000Z,1.105312,10.11,1.06,101.29,102.35,101.06
7,2025-07-31T16:59:50.000Z,1.041377,10.12,0.42,102.35,102.77,101.24
8,2025-07-31T19:19:04.000Z,1.032166,10.14,0.33,102.77,103.09,101.43
9,2025-08-03T15:23:35.000Z,1.236878,10.16,2.41,103.09,105.50,101.62
10,2025-08-04T01:24:24.000Z,1.178527,10.20,1.82,105.50,107.32,102.01
11,2025-08-05T02:21:35.000Z,1.022963,10.27,0.24,107.32,107.56,102.74
12,2025-08-05T04:28:04.000Z,1.000000,10.33,0.00,107.56,107.56,103.31
13,2025-08-07T03:37:59.000Z,1.015975,10.41,0.17,107.56,107.73,104.08
14,2025-08-12T03:57:52.000Z,1.000000,10.46,0.00,107.73,107.73,104.65
15,2025-08-12T06:17:15.000Z,0.981445,10.53,-0.20,107.73,107.53,105.29
16,2025-08-13T00:13:46.000Z,1.000000,10.59,0.00,107.53,107.53,105.91
17,2025-08-13T16:30:25.000Z,1.109017,10.64,1.16,107.53,108.69,106.43
18,2025-08-17T02:01:47.000Z,1.122799,10.70,1.31,108.69,110.00,107.02
19,2025-08-17T21:58:30.000Z,0.989771,10.77,-0.11,110.00,109.89,107.71
20,2025-09-05T13:48:54.000Z,0.989026,10.82,-0.12,109.89,109.78,108.15
21,2025-09-20T04:29:44.000Z,1.001912,10.84,0.02,109.78,109.80,108.40
22,2025-09-22T04:04:49.000Z,0.991181,10.86,-0.10,109.80,109.70,108.62
23,2025-10-01T02:50:36.000Z,1.206896,10.88,2.25,109.70,111.95,108.84
24,2025-10-04T04:54:58.000Z,2.292826,10.93,14.13,111.95,126.08,109.26
25,2025-10-04T13:33:09.000Z,1.000000,11.11,0.00,126.08,126.08,111.10
26,2025-10-07T23:17:20.000Z,0.942183,11.29,-0.65,126.08,125.42,112.95
27,2025-10-08T01:55:29.000Z,1.046513,11.47,0.53,125.42,125.96,114.74
28,2025-10-10T01:28:04.000Z,0.800000,11.65,-2.33,125.96,123.63,116.47
29,2025-10-13T01:00:17.000Z,0.998993,11.78,-0.01,123.63,123.62,117.83
30,2025-10-13T01:55:39.000Z,1.000000,11.92,0.00,123.62,123.62,119.20
31,2025-10-13T02:32:39.000Z,1.003055,12.06,0.04,123.62,123.65,120.59
32,2025-10-13T19:02:19.000Z,0.800000,12.20,-2.44,123.65,121.21,121.97
33,2025-10-13T21:57:42.000Z,1.000000,12.31,0.00,121.21,121.21,123.12
34,2025-10-13T22:29:04.000Z,1.000000,12.40,0.00,121.21,121.21,124.05
35,2025-10-14T01:44:08.000Z,1.000000,12.36,0.00,121.21,121.21,123.56
36,2025-10-15T20:58:10.000Z,0.995925,12.31,-0.05,121.21,121.16,123.08
37,2025-10-16T03:49:29.000Z,1.005076,12.26,0.06,121.16,121.23,122.65
38,2025-10-20T21:31:49.000Z,1.354979,12.22,4.34,121.23,125.56,122.18
39,2025-10-25T07:34:09.000Z,1.137632,12.24,1.68,125.56,127.25,122.37
40,2025-10-25T19:29:32.000Z,1.685408,12.27,8.41,127.25,135.66,122.73
41,2025-10-25T22:21:27.000Z,1.008038,12.39,0.10,135.66,135.76,123.94
42,2025-10-26T14:33:25.000Z,0.941844,12.51,-0.73,135.76,135.03,125.15
43,2025-10-26T20:50:13.000Z,0.992681,12.65,-0.09,135.03,134.94,126.53
44,2025-10-27T01:38:11.000Z,1.342957,12.79,4.39,134.94,139.33,127.90
45,2025-10-27T23:16:14.000Z,1.000000,12.97,0.00,139.33,139.33,129.71
46,2025-10-28T03:39:07.000Z,1.000000,13.15,0.00,139.33,139.33,131.52
