TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-07-18T22:41:09.000Z,1.210243,10.00,2.10,100.00,102.10,100.00
2,2025-07-19T00:56:08.000Z,1.000322,10.11,0.00,102.10,102.11,101.05
3,2025-07-21T18:26:46.000Z,1.001304,10.14,0.01,102.11,102.12,101.40
4,2025-07-24T00:45:19.000Z,0.987525,10.16,-0.13,102.12,101.99,101.58
5,2025-07-24T09:57:08.000Z,1.055227,10.17,0.56,101.99,102.55,101.66
6,2025-07-24T16:46:39.000Z,1.032491,10.18,0.33,102.55,102.88,101.81
7,2025-07-25T16:11:33.000Z,0.987034,10.20,-0.13,102.88,102.75,101.97
8,2025-07-28T14:08:58.000Z,1.027956,10.21,0.29,102.75,103.04,102.06
9,2025-07-28T16:17:28.000Z,1.359995,10.22,3.68,103.04,106.72,102.17
10,2025-07-29T14:46:03.000Z,1.000000,10.26,0.00,106.72,106.72,102.63
11,2025-07-29T21:14:03.000Z,0.984640,10.33,-0.16,106.72,106.56,103.30
12,2025-07-31T07:11:51.000Z,0.988680,10.37,-0.12,106.56,106.44,103.74
13,2025-07-31T16:57:22.000Z,1.041377,10.42,0.43,106.44,106.87,104.18
14,2025-07-31T22:05:00.000Z,0.950063,10.47,-0.52,106.87,106.35,104.65
15,2025-08-01T05:41:45.000Z,1.558237,10.51,5.87,106.35,112.21,105.09
16,2025-08-01T09:48:50.000Z,0.955375,10.61,-0.47,112.21,111.74,106.05
17,2025-08-03T12:56:33.000Z,0.948904,10.69,-0.55,111.74,111.19,106.94
18,2025-08-04T08:46:41.000Z,1.011758,10.78,0.13,111.19,111.32,107.78
19,2025-08-04T09:49:42.000Z,1.743052,10.86,8.07,111.32,119.39,108.61
20,2025-08-04T17:41:38.000Z,1.082326,10.99,0.90,119.39,120.30,109.88
21,2025-08-05T08:10:02.000Z,1.118818,11.12,1.32,120.30,121.62,111.24
22,2025-08-05T08:19:28.000Z,0.903023,11.27,-1.09,121.62,120.52,112.74
23,2025-08-05T15:24:49.000Z,0.903649,11.42,-1.10,120.52,119.42,114.15
24,2025-08-06T01:27:19.000Z,0.987699,11.54,-0.14,119.42,119.28,115.41
25,2025-08-06T17:12:14.000Z,0.879570,11.67,-1.41,119.28,117.88,116.70
26,2025-08-06T17:22:58.000Z,0.990240,11.73,-0.11,117.88,117.76,117.27
27,2025-08-06T23:05:40.000Z,0.935978,11.79,-0.75,117.76,117.01,117.87
28,2025-08-07T16:43:34.000Z,0.883441,11.85,-1.38,117.01,115.63,118.45
29,2025-08-07T23:21:07.000Z,0.966213,11.89,-0.40,115.63,115.23,118.88
30,2025-08-07T23:48:18.000Z,0.930838,11.85,-0.82,115.23,114.41,118.47
31,2025-08-07T23:48:27.000Z,1.534393,11.79,6.30,114.41,120.71,117.88
32,2025-08-08T12:03:54.000Z,1.165370,11.78,1.95,120.71,122.65,117.78
33,2025-08-09T02:41:57.000Z,2.336142,11.80,15.77,122.65,138.42,118.00
34,2025-08-09T11:16:55.000Z,0.997435,11.99,-0.03,138.42,138.39,119.90
35,2025-08-09T11:17:08.000Z,1.180552,12.18,2.20,138.39,140.59,121.81
36,2025-08-09T12:44:40.000Z,0.990979,12.41,-0.11,140.59,140.48,124.08
37,2025-08-09T17:23:58.000Z,0.963808,12.64,-0.46,140.48,140.02,126.35
38,2025-08-10T15:02:23.000Z,0.858427,12.87,-1.82,140.02,138.20,128.65
39,2025-08-10T19:32:35.000Z,0.800000,13.09,-2.62,138.20,135.58,130.91
40,2025-08-11T10:24:50.000Z,1.603768,13.29,8.03,135.58,143.61,132.94
41,2025-08-11T15:53:55.000Z,1.000309,13.59,0.00,143.61,143.61,135.86
42,2025-08-11T16:47:42.000Z,1.010452,13.82,0.14,143.61,143.76,138.15
43,2025-08-11T19:26:31.000Z,0.970415,14.03,-0.41,143.76,143.34,140.26
44,2025-08-11T21:36:17.000Z,0.951737,14.08,-0.68,143.34,142.66,140.76
45,2025-08-12T10:47:13.000Z,0.995392,14.12,-0.07,142.66,142.60,141.18
46,2025-08-12T19:19:13.000Z,1.127354,14.14,1.80,142.60,144.40,141.38
47,2025-08-12T20:30:16.000Z,1.002549,14.18,0.04,144.40,144.43,141.78
48,2025-08-13T12:05:37.000Z,1.014334,14.22,0.20,144.43,144.64,142.22
49,2025-08-13T13:28:37.000Z,0.996238,14.29,-0.05,144.64,144.58,142.86
50,2025-08-13T15:01:05.000Z,0.888287,14.38,-1.61,144.58,142.98,143.76
51,2025-08-14T12:25:05.000Z,1.002527,14.37,0.04,142.98,143.01,143.70
52,2025-08-15T12:26:56.000Z,1.259355,14.36,3.73,143.01,146.74,143.64
53,2025-08-15T12:39:12.000Z,0.971602,14.39,-0.41,146.74,146.33,143.94
54,2025-08-15T13:19:58.000Z,1.473759,14.42,6.83,146.33,153.16,144.24
55,2025-08-15T13:22:05.000Z,0.994563,14.53,-0.08,153.16,153.08,145.29
56,2025-08-15T18:45:29.000Z,0.881762,14.63,-1.73,153.08,151.35,146.34
57,2025-08-17T11:19:50.000Z,1.000000,14.70,0.00,151.35,151.35,147.03
58,2025-08-17T15:21:53.000Z,0.934291,14.77,-0.97,151.35,150.38,147.72
59,2025-08-19T02:23:36.000Z,0.898791,14.83,-1.50,150.38,148.88,148.30
60,2025-08-19T11:21:22.000Z,0.817246,14.87,-2.72,148.88,146.16,148.73
61,2025-08-19T11:59:22.000Z,1.174408,14.90,2.60,146.16,148.76,149.05
62,2025-08-19T16:36:43.000Z,1.006795,14.96,0.10,148.76,148.87,149.62
63,2025-08-20T17:29:46.000Z,1.018957,14.98,0.28,148.87,149.15,149.83
64,2025-08-20T18:35:20.000Z,0.991063,15.01,-0.13,149.15,149.02,150.12
65,2025-08-21T14:15:21.000Z,1.212450,14.97,3.18,149.02,152.20,149.70
66,2025-08-23T17:19:27.000Z,1.000000,14.96,0.00,152.20,152.20,149.61
67,2025-08-25T14:57:27.000Z,0.946500,14.97,-0.80,152.20,151.39,149.70
68,2025-08-25T23:08:36.000Z,0.869478,14.97,-1.95,151.39,149.44,149.70
69,2025-08-26T00:36:20.000Z,0.980643,14.96,-0.29,149.44,149.15,149.61
70,2025-08-26T07:02:18.000Z,1.000000,14.96,0.00,149.15,149.15,149.63
71,2025-08-26T07:02:53.000Z,1.000000,14.99,0.00,149.15,149.15,149.93
72,2025-08-26T07:23:16.000Z,0.831288,15.00,-2.53,149.15,146.62,149.97
73,2025-08-26T09:49:59.000Z,0.975948,14.97,-0.36,146.62,146.26,149.75
74,2025-08-27T01:00:15.000Z,0.978336,14.95,-0.32,146.26,145.94,149.46
75,2025-08-27T01:02:38.000Z,0.985967,14.91,-0.21,145.94,145.73,149.15
76,2025-08-27T13:52:25.000Z,1.010032,14.85,0.15,145.73,145.88,148.50
77,2025-08-30T09:40:53.000Z,0.943928,14.79,-0.83,145.88,145.05,147.87
78,2025-08-30T11:47:14.000Z,0.800000,14.72,-2.94,145.05,142.10,147.24
79,2025-08-30T23:55:06.000Z,0.993433,14.65,-0.10,142.10,142.01,146.50
80,2025-08-31T22:49:24.000Z,1.014244,14.58,0.21,142.01,142.21,145.79
81,2025-09-01T03:45:16.000Z,0.987951,14.51,-0.17,142.21,142.04,145.09
82,2025-09-01T10:59:42.000Z,1.051650,14.44,0.75,142.04,142.79,144.38
83,2025-09-02T03:05:48.000Z,0.800000,14.40,-2.88,142.79,139.91,144.00
84,2025-09-02T21:30:44.000Z,0.979048,14.34,-0.30,139.91,139.60,143.36
85,2025-09-04T07:55:44.000Z,0.994965,14.27,-0.07,139.60,139.53,142.73
86,2025-09-04T16:00:03.000Z,1.014040,14.21,0.20,139.53,139.73,142.11
87,2025-09-04T19:50:26.000Z,1.001387,14.15,0.02,139.73,139.75,141.50
88,2025-09-04T23:09:47.000Z,0.929367,14.10,-1.00,139.75,138.76,140.97
89,2025-09-04T23:39:16.000Z,1.055497,14.06,0.78,138.76,139.54,140.63
90,2025-09-05T00:47:31.000Z,1.119593,14.04,1.68,139.54,141.22,140.39
91,2025-09-05T09:19:21.000Z,0.940382,14.03,-0.84,141.22,140.38,140.29
92,2025-09-05T23:35:57.000Z,0.852308,14.01,-2.07,140.38,138.31,140.12
93,2025-09-06T17:22:16.000Z,0.991549,13.97,-0.12,138.31,138.19,139.67
94,2025-09-08T14:15:54.000Z,1.009569,13.95,0.13,138.19,138.33,139.50
95,2025-09-09T09:00:29.000Z,0.800000,13.94,-2.79,138.33,135.54,139.37
96,2025-09-10T13:50:36.000Z,0.800000,13.90,-2.78,135.54,132.76,138.97
