Date,PortfolioValue_Reinvestment,PortfolioValue_NoReinvestment,Return_Reinvestment,Return_NoReinvestment
2025-09-19,100.32,100.32,0.32,0.32
2025-09-21,98.47,98.48,-1.53,-1.52
2025-09-20,98.14,98.15,-1.86,-1.85
2025-09-24,98.00,98.00,-2.00,-2.00
2025-09-26,100.34,100.36,0.34,0.36
2025-09-29,100.11,100.12,0.11,0.12
2025-09-27,100.31,100.32,0.31,0.32
2025-09-28,100.40,100.41,0.40,0.41
2025-10-01,100.45,100.46,0.45,0.46
2025-10-03,108.01,108.06,8.01,8.06
2025-10-04,107.97,108.01,7.97,8.01
2025-10-06,104.74,104.88,4.74,4.88
2025-10-05,105.84,105.93,5.84,5.93
2025-10-07,107.72,107.74,7.72,7.74
2025-10-09,107.48,107.50,7.48,7.50
2025-10-08,107.98,107.97,7.98,7.97
2025-10-11,148.26,145.57,48.26,45.57
2025-10-12,153.42,150.21,53.42,50.21
2025-10-15,152.91,149.74,52.91,49.74
2025-10-14,153.14,149.98,53.14,49.98
2025-10-18,156.75,152.60,56.75,52.60
2025-10-20,154.62,151.25,54.62,51.25
2025-10-16,159.85,154.58,59.85,54.58
2025-10-17,160.02,154.68,60.02,54.68
2025-10-19,156.61,152.51,56.61,52.51
2025-10-21,152.31,149.78,52.31,49.78
2025-10-22,154.02,150.89,54.02,50.89
2025-10-23,157.70,153.29,57.70,53.29
2025-10-25,168.66,160.45,68.66,60.45
2025-10-24,171.05,161.98,71.05,61.98
2025-10-26,167.86,159.95,67.86,59.95
2025-10-27,165.09,158.22,65.09,58.22
2025-10-28,165.62,158.55,65.62,58.55
2025-10-31,158.69,154.33,58.69,54.33
2025-10-29,161.86,156.26,61.86,56.26
2025-10-30,162.10,156.41,62.10,56.41
2025-11-02,156.60,153.05,56.60,53.05
2025-11-06,155.96,152.66,55.96,52.66
2025-11-04,154.62,151.83,54.62,51.83
2025-11-05,154.10,151.50,54.10,51.50
