title,year,lot_id,price_text,location_text,time_text,url,source_page
2016 Toyota Rav 4 FWD GX ZSA42R CVT Wagon,2016,21061278,"$13,000",2016 Toyota Rav 4 FWD GX ZSA42R CVT Wagon,,https://www.grays.com/lot/0001-21061278/motor-vehicles-motor-cycles/2016-toyota-rav-4-fwd-gx-zsa42r-cvt-wagon,1
2014 BMW X5 xDrive 35i F15 Automatic - 8 Speed 7 Seats Wagon,2014,21061189,"$17,800",VIC,,https://www.grays.com/lot/0001-21061189/motor-vehicles-motor-cycles/2014-bmw-x5-xdrive-35i-f15-automatic-8-speed-7-seats-wagon,1
2010 Mercedes Benz ML63 AMG W164 Auto WOVR-REPAIRABLE,2010,21061291,"$9,500",VIC,,https://www.grays.com/lot/0001-21061291/motor-vehicles-motor-cycles/2010-mercedes-benz-ml63-amg-w164-auto-wovr-repairable,1
2016 Land Rover Discovery Sport TD4 180 HSE Turbo Diesel 9 auto Wagon,2016,21061298,"$11,300",VIC,,https://www.grays.com/lot/0001-21061298/motor-vehicles-motor-cycles/2016-land-rover-discovery-sport-td4-180-hse-turbo-diesel-9-auto-wagon,1
2015 Audi A7 3.0 TDI Quattro 4G Turbo Diesel Automatic Hatchback,2015,21061292,"$10,000",VIC,,https://www.grays.com/lot/0001-21061292/motor-vehicles-motor-cycles/2015-audi-a7-3-0-tdi-quattro-4g-turbo-diesel-automatic-hatchback,1
2009 Toyota Hiace LWB KDH201R Turbo Diesel Automatic Van,2009,21061201,"$9,800",VIC,,https://www.grays.com/lot/0001-21061201/motor-vehicles-motor-cycles/2009-toyota-hiace-lwb-kdh201r-turbo-diesel-automatic-van,1
2014 Mazda CX-5 Maxx KE Automatic Wagon,2014,21061273,"$5,409",VIC,,https://www.grays.com/lot/0001-21061273/motor-vehicles-motor-cycles/2014-mazda-cx-5-maxx-ke-automatic-wagon,1
2012 Ford Territory Titanium SZ Turbo Diesel Automatic 7 Seats Wagon,2012,21061300,"$4,300",VIC,,https://www.grays.com/lot/0001-21061300/motor-vehicles-motor-cycles/2012-ford-territory-titanium-sz-turbo-diesel-automatic-7-seats-wagon,1
2013 Nissan Pulsar ST B17 CVT Sedan,2013,21061323,"$3,700",VIC,,https://www.grays.com/lot/0001-21061323/motor-vehicles-motor-cycles/2013-nissan-pulsar-st-b17-cvt-sedan,1
2013 Hyundai i30 Elite GD Automatic Hatchback,2013,21061046,"$6,900",VIC,,https://www.grays.com/lot/0001-21061046/motor-vehicles-motor-cycles/2013-hyundai-i30-elite-gd-automatic-hatchback,1
2018 Volkswagen Transporter TDI340 SWB T6 Turbo Diesel Manual Van,2018,21061199,"$6,800",VIC,,https://www.grays.com/lot/0001-21061199/motor-vehicles-motor-cycles/2018-volkswagen-transporter-tdi340-swb-t6-turbo-diesel-manual-van,1
2014 Audi S3 2.0 TFSI quattro 8V Automatic Sedan,2014,21061321,"$6,100",VIC,,https://www.grays.com/lot/0001-21061321/motor-vehicles-motor-cycles/2014-audi-s3-2-0-tfsi-quattro-8v-automatic-sedan,1
